unit,unit_emoji,level,lesson,vi,emoji,type,min_age,max_age,de,en,fr,ko,ja
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con chào bà ạ.,👵,sentence,4,8,"Hallo, Oma.","Hello, Grandma.",Bonjour grand-mère.,"할머니, 안녕하세요.",おばあちゃん、こんにちは。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con chào ông ạ.,👴,sentence,4,8,"Hallo, Opa.","Hello, Grandpa.",Bonjour grand-père.,"할아버지, 안녕하세요.",おじいちゃん、こんにちは。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con chào bố ạ.,👨,sentence,4,8,"Hallo, Papa.","Hello, Dad.",Bonjour papa.,"아빠, 안녕하세요.",パパ、こんにちは。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con chào mẹ ạ.,👩,sentence,4,8,"Hallo, Mama.","Hello, Mom.",Bonjour maman.,"엄마, 안녕하세요.",ママ、こんにちは。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con cảm ơn mẹ ạ.,🙏,sentence,4,8,"Danke, Mama.","Thank you, Mom.",Merci maman.,"엄마, 감사합니다.",ママ、ありがとう。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con xin lỗi ạ.,🙇,sentence,4,8,Es tut mir leid.,I'm sorry.,Je suis désolé.,죄송해요.,ごめんなさい。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con mời bà ăn cơm ạ.,🍚,sentence,4,8,"Oma, komm bitte essen.","Grandma, please come and eat.","Grand-mère, venez manger s'il vous plaît.","할머니, 식사하세요.",おばあちゃん、ご飯を召し上がってください。
Lễ phép với người thân,🙏,3,Chào và cảm ơn,Con đi học đây ạ.,🎒,sentence,4,8,Ich gehe jetzt zur Schule.,I'm off to school now.,Je pars à l'école.,학교에 다녀올게요.,学校に行ってきます。
Gia đình của con,👨‍👩‍👧‍👦,3,Nói về gia đình,Đây là bố.,👨,sentence,4,8,Das ist Papa.,This is Dad.,C'est papa.,이분은 아빠예요.,これはパパです。
Gia đình của con,👨‍👩‍👧‍👦,3,Nói về gia đình,Đây là mẹ.,👩,sentence,4,8,Das ist Mama.,This is Mom.,C'est maman.,이분은 엄마예요.,これはママです。
