unit,unit_emoji,level,lesson,vi,emoji,type,min_age,max_age,de,en,fr,ko,ja
Chào hỏi và lễ phép,🙏,2,Chào hỏi,xin chào,👋,phrase,3,8,Hallo,hello,Bonjour,안녕하세요,こんにちは
Chào hỏi và lễ phép,🙏,2,Chào hỏi,chào buổi sáng,☀️,phrase,3,8,Guten Morgen,good morning,Bonjour (le matin),좋은 아침이에요,おはようございます
Chào hỏi và lễ phép,🙏,2,Chào hỏi,chúc ngủ ngon,🌙,phrase,3,8,Gute Nacht,good night,Bonne nuit,안녕히 주무세요,おやすみなさい
Chào hỏi và lễ phép,🙏,2,Chào hỏi,tạm biệt,🖐️,word,3,8,Tschüss,goodbye,Au revoir,안녕히 가세요,さようなら
Chào hỏi và lễ phép,🙏,2,Chào hỏi,hẹn gặp lại,🤝,phrase,3,8,Bis bald,see you later,À bientôt,또 만나요,またね
Chào hỏi và lễ phép,🙏,2,Chào hỏi,chúc mừng sinh nhật,🎂,phrase,3,8,Alles Gute zum Geburtstag,happy birthday,Joyeux anniversaire,생일 축하해요,お誕生日おめでとう
Chào hỏi và lễ phép,🙏,2,Lễ phép,cảm ơn,🙏,word,3,8,Danke,thank you,Merci,감사합니다,ありがとう
Chào hỏi và lễ phép,🙏,2,Lễ phép,xin lỗi,🙇,phrase,3,8,Entschuldigung,sorry,Pardon,죄송해요,ごめんなさい
Chào hỏi và lễ phép,🙏,2,Lễ phép,dạ,🙋,word,3,8,Ja (höflich),yes (polite),Oui (poli),네,はい
Chào hỏi và lễ phép,🙏,2,Lễ phép,xin phép,✋,phrase,3,8,Darf ich?,may I?,Puis-je ?,허락해 주세요,失礼します
Chào hỏi và lễ phép,🙏,2,Lễ phép,xin mời,🤲,phrase,3,8,Bitte sehr,please go ahead,Je vous en prie,어서 하세요,どうぞ
Chào hỏi và lễ phép,🙏,2,Lễ phép,không sao đâu,😊,phrase,3,8,Kein Problem,it's okay,Ce n'est pas grave,괜찮아요,大丈夫です
Gia đình,👨‍👩‍👧‍👦,2,Người thân,bố,👨,word,3,8,Papa,dad,papa,아빠,パパ
Gia đình,👨‍👩‍👧‍👦,2,Người thân,mẹ,👩,word,3,8,Mama,mom,maman,엄마,ママ
Gia đình,👨‍👩‍👧‍👦,2,Người thân,ông,👴,word,3,8,Opa,grandpa,grand-père,할아버지,おじいちゃん
Gia đình,👨‍👩‍👧‍👦,2,Người thân,bà,👵,word,3,8,Oma,grandma,grand-mère,할머니,おばあちゃん
Gia đình,👨‍👩‍👧‍👦,2,Người thân,anh,👦,word,3,8,großer Bruder,older brother,grand frère,형/오빠,お兄ちゃん
Gia đình,👨‍👩‍👧‍👦,2,Người thân,chị,👧,word,3,8,große Schwester,older sister,grande sœur,누나/언니,お姉ちゃん
Gia đình,👨‍👩‍👧‍👦,2,Người trong nhà,em bé,👶,word,3,8,Baby,baby,bébé,아기,赤ちゃん
Gia đình,👨‍👩‍👧‍👦,2,Người trong nhà,chú,🧔,word,3,8,Onkel,uncle,oncle,삼촌,おじさん
Gia đình,👨‍👩‍👧‍👦,2,Người trong nhà,cô,👩‍🦰,word,3,8,Tante,aunt,tante,이모,おばさん
Gia đình,👨‍👩‍👧‍👦,2,Người trong nhà,bạn,🧒,word,3,8,Freund,friend,ami,친구,友達
Gia đình,👨‍👩‍👧‍👦,2,Người trong nhà,gia đình,👨‍👩‍👧‍👦,word,3,8,Familie,family,famille,가족,家族
Gia đình,👨‍👩‍👧‍👦,2,Người trong nhà,nhà,🏠,word,3,8,Haus,house,maison,집,家
Cơ thể,🧍,2,Khuôn mặt,mắt,👁️,word,3,8,Auge,eye,œil,눈,目
Cơ thể,🧍,2,Khuôn mặt,mũi,👃,word,3,8,Nase,nose,nez,코,鼻
Cơ thể,🧍,2,Khuôn mặt,miệng,👄,word,3,8,Mund,mouth,bouche,입,口
