unit,unit_emoji,level,lesson,vi,say,activities,choices,answer,emoji,type,min_age,max_age,de,en,fr,ko,ja,pic
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Nhà Nam có bốn người.,,read_quiz order_story fill_word listen_repeat,,,🏠4️⃣,sentence,6,8,Nams Familie hat vier Mitglieder.,Nam's family has four people.,La famille de Nam a quatre personnes.,남의 가족은 네 명이에요.,ナムの家族は四人です。,decor
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Bố Nam là bác sĩ.,,,,,👨‍⚕️,sentence,6,8,Nams Vater ist Arzt.,Nam's father is a doctor.,Le père de Nam est médecin.,남의 아버지는 의사예요.,ナムのお父さんは医者です。,decor
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Mẹ Nam là cô giáo.,,,,,👩‍🏫,sentence,6,8,Nams Mutter ist Lehrerin.,Nam's mother is a teacher.,La mère de Nam est institutrice.,남의 어머니는 선생님이에요.,ナムのお母さんは先生です。,decor
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Nam có một em gái tên là Mai.,,,,,👧,sentence,6,8,Nam hat eine kleine Schwester namens Mai.,Nam has a little sister named Mai.,Nam a une petite sœur qui s'appelle Mai.,남은 마이라는 여동생이 있어요.,ナムにはマイという妹がいます。,decor
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Cả nhà rất yêu thương nhau.,,,,,👨‍👩‍👧‍👦❤️,sentence,6,8,Die ganze Familie hat sich sehr lieb.,The whole family loves each other very much.,Toute la famille s'aime beaucoup.,온 가족이 서로 아주 사랑해요.,家族みんなとても愛し合っています。,decor
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Nhà Nam có mấy người?,,,bốn người|ba người|năm người,1,,question,6,8,Wie viele Personen hat Nams Familie?,How many people are in Nam's family?,Combien de personnes y a-t-il dans la famille de Nam ?,남의 가족은 몇 명이에요?,ナムの家族は何人ですか。,
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Mẹ Nam làm nghề gì?,,,cô giáo|bác sĩ|công nhân,1,,question,6,8,Was arbeitet Nams Mutter?,What is Nam's mother's job?,Quel est le métier de la mère de Nam ?,남의 어머니의 직업은 무엇이에요?,ナムのお母さんの仕事は何ですか。,
Đọc đoạn văn ngắn,📖,4,Gia đình của Nam,Em gái của Nam tên là gì?,,,Mai|Lan|Hoa,1,,question,6,8,Wie heißt Nams Schwester?,What is Nam's sister's name?,Comment s'appelle la petite sœur de Nam ?,남의 여동생 이름은 무엇이에요?,ナムの妹の名前は何ですか。,
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,Sáng nào em cũng dậy sớm.,,read_quiz order_story fill_word listen_repeat,,,🧒⏰,sentence,6,8,Jeden Morgen stehe ich früh auf.,Every morning I get up early.,"Chaque matin, je me lève tôt.",저는 매일 아침 일찍 일어나요.,私は毎朝早く起きます。,decor
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,Em đánh răng và rửa mặt.,,,,,🦷🧼,sentence,6,8,Ich putze mir die Zähne und wasche mein Gesicht.,I brush my teeth and wash my face.,Je me brosse les dents et je me lave le visage.,저는 이를 닦고 세수를 해요.,私は歯を磨いて顔を洗います。,decor
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,Mẹ nấu cho em bát phở nóng.,,,,,🍜,sentence,6,8,Mama kocht mir eine heiße Schüssel Phở.,Mum cooks me a hot bowl of phở.,Maman me prépare un bol de phở chaud.,엄마가 따뜻한 쌀국수를 만들어 주세요.,ママが温かいフォーを作ってくれます。,decor
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,"Ăn xong, em đeo cặp đi học.",,,,,🧒🎒,sentence,6,8,Nach dem Essen nehme ich meinen Schulranzen und gehe zur Schule.,"After eating, I put on my school bag and go to school.","Après avoir mangé, je mets mon cartable et je vais à l'école.",다 먹고 나서 책가방을 메고 학교에 가요.,食べ終わったら、かばんを背負って学校に行きます。,decor
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,"Trên đường, em gặp bạn Hà.",,,,,🧒👫,sentence,6,8,Unterwegs treffe ich meine Freundin Hà.,"On the way, I meet my friend Hà.","Sur le chemin, je rencontre mon amie Hà.",가는 길에 하 친구를 만나요.,道でハーちゃんに会います。,decor
Đọc đoạn văn ngắn,📖,4,Buổi sáng của em,Sáng nào em cũng dậy lúc nào?,,,sớm|muộn|trưa,1,,question,6,8,Wann steht das Kind jeden Morgen auf?,When does the child get up every morning?,À quelle heure te lèves-tu chaque matin ?,매일 아침 몇 시에 일어나요?,毎朝いつ起きますか。,
