ưu tiên,loại,cấp,chủ đề,bài,chữ tiếng Việt,emoji hiện tại,mô tả gợi ý cho người vẽ,tên file gợi ý
1,Đặc trưng Việt Nam,1,Ăn uống,Bữa cơm,cơm,🍚,"Hình minh hoạ đúng thực tế Việt Nam: “cơm”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",com.png
1,Đặc trưng Việt Nam,1,Ăn uống,Bữa cơm,phở,🍜,"Hình minh hoạ đúng thực tế Việt Nam: “phở”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",pho.png
1,Đặc trưng Việt Nam,1,Ăn uống,Bữa cơm,bánh mì,🥖,"Hình minh hoạ đúng thực tế Việt Nam: “bánh mì”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",banh-mi.png
1,Đặc trưng Việt Nam,1,Ăn uống,Bữa cơm,canh,🍲,"Hình minh hoạ đúng thực tế Việt Nam: “canh”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",canh.png
1,Đặc trưng Việt Nam,1,Ăn uống,Đồ uống và bánh kẹo,bánh ngọt,🍰,"Hình minh hoạ đúng thực tế Việt Nam: “bánh ngọt”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",banh-ngot.png
1,Đặc trưng Việt Nam,1,Ngôi nhà,Nhà bếp và nhà tắm,cái bát,🥣,"Hình minh hoạ đúng thực tế Việt Nam: “cái bát”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",cai-bat.png
1,Đặc trưng Việt Nam,1,Ngôi nhà,Nhà bếp và nhà tắm,cái thìa,🥄,"Hình minh hoạ đúng thực tế Việt Nam: “cái thìa”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",cai-thia.png
1,Đặc trưng Việt Nam,1,Ngôi nhà,Nhà bếp và nhà tắm,đôi đũa,🥢,"Hình minh hoạ đúng thực tế Việt Nam: “đôi đũa”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",doi-dua.png
1,Đặc trưng Việt Nam,1,Thiên nhiên và thời tiết,Thời tiết,cầu vồng,🌈,"Hình minh hoạ đúng thực tế Việt Nam: “cầu vồng”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",cau-vong.png
1,Đặc trưng Việt Nam,1,Quần áo và xe cộ,Xe cộ,xe máy,🛵,"Hình minh hoạ đúng thực tế Việt Nam: “xe máy”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",xe-may.png
1,Đặc trưng Việt Nam,1,Quần áo và xe cộ,Xe cộ,ô tô,🚗,"Hình minh hoạ đúng thực tế Việt Nam: “ô tô”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",o-to.png
1,Đặc trưng Việt Nam,1,Quần áo và xe cộ,Xe cộ,tàu hoả,🚆,"Hình minh hoạ đúng thực tế Việt Nam: “tàu hoả”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",tau-hoa.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Ngày Tết,Tết,🎊,"Hình minh hoạ đúng thực tế Việt Nam: “Tết”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",tet.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Ngày Tết,bánh chưng,🟩,"Hình minh hoạ đúng thực tế Việt Nam: “bánh chưng”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",banh-chung.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Ngày Tết,lì xì,🧧,"Hình minh hoạ đúng thực tế Việt Nam: “lì xì”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",li-xi.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Ngày Tết,đèn lồng,🏮,"Hình minh hoạ đúng thực tế Việt Nam: “đèn lồng”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",den-long.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Ngày Tết,hoa đào,🌸,"Hình minh hoạ đúng thực tế Việt Nam: “hoa đào”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",hoa-dao.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Việt Nam,áo dài,👗,"Hình minh hoạ đúng thực tế Việt Nam: “áo dài”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",ao-dai.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Việt Nam,nón lá,👒,"Hình minh hoạ đúng thực tế Việt Nam: “nón lá”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",non-la.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Việt Nam,con trâu,🐃,"Hình minh hoạ đúng thực tế Việt Nam: “con trâu”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",con-trau.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Việt Nam,cánh đồng lúa,🌾,"Hình minh hoạ đúng thực tế Việt Nam: “cánh đồng lúa”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",canh-dong-lua.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Việt Nam,cây tre,🎋,"Hình minh hoạ đúng thực tế Việt Nam: “cây tre”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",cay-tre.png
1,Đặc trưng Việt Nam,1,Tết và Việt Nam,Việt Nam,bánh Trung thu,🥮,"Hình minh hoạ đúng thực tế Việt Nam: “bánh Trung thu”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",banh-trung-thu.png
1,Đặc trưng Việt Nam,3,Chữ cái,Nhóm 4: từ có t c k q d đ,dừa,🥥,"Hình minh hoạ đúng thực tế Việt Nam: “dừa”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",dua.png
1,Đặc trưng Việt Nam,3,Chữ cái,Nhóm 5: từ có h g r s v x,xôi,🍙,"Hình minh hoạ đúng thực tế Việt Nam: “xôi”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",xoi.png
1,Đặc trưng Việt Nam,3,Ghép âm với nguyên âm,"Vần e, ê",chè,🍵,"Hình minh hoạ đúng thực tế Việt Nam: “chè”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",che.png
1,Đặc trưng Việt Nam,3,Ghép âm với nguyên âm,"Vần e, ê",nghé,🐃,"Hình minh hoạ đúng thực tế Việt Nam: “nghé”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",nghe.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần an, ăn, ân",mận,🍑,"Hình minh hoạ đúng thực tế Việt Nam: “mận”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",man.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần at, ăt, ât",bát,🥣,"Hình minh hoạ đúng thực tế Việt Nam: “bát”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",bat.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần ang, anh",canh,🍲,"Hình minh hoạ đúng thực tế Việt Nam: “canh”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",canh-2.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần ang, anh",bánh,🥮,"Hình minh hoạ đúng thực tế Việt Nam: “bánh”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",banh.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần ac, ach, uc, ưc",lạc,🥜,"Hình minh hoạ đúng thực tế Việt Nam: “lạc”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",lac.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần ac, ach, uc, ưc",cúc,🌼,"Hình minh hoạ đúng thực tế Việt Nam: “cúc”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",cuc.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần on, ôm, ơm, ôp, ơp",nón,👒,"Hình minh hoạ đúng thực tế Việt Nam: “nón”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",non.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần on, ôm, ơm, ôp, ơp",thơm,🍍,"Hình minh hoạ đúng thực tế Việt Nam: “thơm”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",thom.png
1,Đặc trưng Việt Nam,3,Vần có âm cuối,"Vần on, ôm, ơm, ôp, ơp",cơm,🍚,"Hình minh hoạ đúng thực tế Việt Nam: “cơm”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",com-2.png
