unit,unit_emoji,level,lesson,vi,say,activities,emoji,type,min_age,max_age,de,en,fr,ko,ja,pic
Sáu thanh điệu,🎵,1,Tên sáu thanh,ngang,,listen_pick_tone listen_pick_text listen_repeat,➖,syllable,5,8,"Ton ngang: gleichbleibender Ton, ohne Zeichen","ngang tone: level tone, no mark","Ton ngang (uni, sans signe)","응앙 성조 (평평한 소리, 부호 없음)",ンガン調（平らな声調、記号なし）,
Sáu thanh điệu,🎵,1,Tên sáu thanh,sắc,,,↗️,syllable,5,8,Ton sắc: steigender Ton,sắc tone: rising tone,Ton sắc (montant),삭 성조 (올라가는 소리),サック調（上がる声調）,
Sáu thanh điệu,🎵,1,Tên sáu thanh,huyền,,,↘️,syllable,5,8,Ton huyền: fallender Ton,huyền tone: falling tone,Ton huyền (descendant),후이엔 성조 (내려가는 소리),フイエン調（下がる声調）,
Sáu thanh điệu,🎵,1,Tên sáu thanh,hỏi,,,❓,syllable,5,8,Ton hỏi: fallend-steigender Ton,hỏi tone: dipping-rising tone,Ton hỏi (descendant-montant),호이 성조 (내려갔다 올라가는 소리),ホイ調（下がって上がる声調）,
Sáu thanh điệu,🎵,1,Tên sáu thanh,ngã,,,〰️,syllable,5,8,Ton ngã: gebrochen steigender Ton,ngã tone: broken rising tone,Ton ngã (montant cassé),응아 성조 (끊어지며 올라가는 소리),ンガー調（途切れて上がる声調）,
Sáu thanh điệu,🎵,1,Tên sáu thanh,nặng,,,⬇️,syllable,5,8,"Ton nặng: tiefer, kurzer Ton",nặng tone: heavy tone,Ton nặng (bas et bref),낭 성조 (낮고 짧은 소리),ナン調（低くて短い声調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ma,ma,,listen_pick_tone match listen_repeat,➖,syllable,5,8,"Gespenst (Ton ngang: ohne Zeichen, gleichbleibend)",ghost (level tone),fantôme (ton ngang),귀신 (ngang 성조),幽霊（ngang調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ma,má,,,↗️,syllable,5,8,Wange (Ton sắc: steigend),cheek (rising tone),joue (ton sắc),볼 (sắc 성조),頬（sắc調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ma,mà,,,↘️,syllable,5,8,aber (Ton huyền: fallend),but (falling tone),mais (ton huyền),그런데 (huyền 성조),しかし（huyền調）,
Sáu thanh điệu,🎵,1,Nghe sáu thanh: ma,mả,,,❓,syllable,5,8,Grab (Ton hỏi: fallend-steigend),grave (dipping tone),tombe (ton hỏi),무덤 (hỏi 성조),墓（hỏi調）,
